,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,bpftop,C
19,brutal,Python
20,cachemover,C++
21,CassJMeter,Java
22,chaosmonkey,Go
23,Cloud-Prize,
24,clove,Python
25,codec_compare,Python
26,concurrency-limits,Java
27,conductor,Java
28,conductor-community,Java
29,conductor-docs,Python
30,conductor-ui,JavaScript
31,consoleme,Python
32,curator,Java
33,denominator,Java
34,derand,Java
35,dgs,HTML
36,dgs-codegen,Kotlin
37,dgs-examples-java,Java
38,dgs-examples-java-2.7,Java
39,dgs-examples-java.latest,Java
40,dgs-examples-java16,Java
41,dgs-examples-kotlin,Kotlin
42,dgs-examples-kotlin-2.7,Kotlin
43,dgs-examples-webflux,Java
44,dgs-federation-example,Kotlin
45,dgs-framework,Kotlin
46,dgs-intellij-plugin,Kotlin
47,dial-reference,C
48,dispatch,Python
49,dispatch-docker,Shell
50,dyno,Java
51,dyno-queues,Java
52,dynomite,C
53,dynomite-manager,Java
54,e2nest,Python
55,eclipse-jifa,Java
56,eclipse-mat,
57,edda,Scala
58,edda-client,Java
59,element-server,JavaScript
60,ember-batch-request,JavaScript
61,ember-nf-graph,JavaScript
62,ember-nf-graph-examples,JavaScript
63,eslint-config-netflix,Shell
64,eslint-config-netflix-dea,JavaScript
65,eureka,Java
66,eureka-ui,JavaScript
67,EVCache,Java
68,fabricator,Java
69,falcor,JavaScript
70,falcor-datasource-chainer,JavaScript
71,falcor-express,JavaScript
72,falcor-express-demo,HTML
73,falcor-hapi,JavaScript
74,falcor-hapi-demo,HTML
75,falcor-http-datasource,JavaScript
76,falcor-json-graph,JavaScript
77,falcor-observable,JavaScript
78,falcor-path-syntax,JavaScript
79,falcor-path-utils,JavaScript
80,falcor-restify,JavaScript
81,falcor-restify-demo,HTML
82,falcor-router,JavaScript
83,falcor-router-demo,JavaScript
84,fast_jsonapi,Ruby
85,Fenzo,Java
86,Fido,C#
87,flamescope,Python
88,frigga,Java
89,genie,Java
90,glisten,Groovy
91,go-env,Go
92,go-expect,Go
93,go-iomux,Go
94,governator,Java
95,gradle-template,Java
96,hal-9001,Go
97,hollow,Java
98,hollow-reference-implementation,Java
99,hubcommander,Python
100,Hystrix,Java
101,iceberg,Java
102,iceberg-python,Python
103,iep,Java
104,iep-shadow,
105,image_compression_comparison,Python
106,inviso,JavaScript
107,karyon,Java
108,lemur,Python
109,lemur-docker,Python
110,libamicontained,Rust
111,Lipstick,JavaScript
112,maestro,Java
113,mantis,Java
114,mantis-api,Java
115,mantis-cli,JavaScript
116,mantis-connectors,Java
117,mantis-control-plane,Java
118,mantis-examples,Java
119,mantis-gradle-plugin,Groovy
120,mantis-helm,Smarty
121,mantis-mql,Clojure
122,mantis-rxcontrol,Java
123,mantis-rxnetty,
124,mantis-source-jobs,Java
125,mantis-ui,TypeScript
126,matchcut,Jupyter Notebook
127,metacat,Java
128,metaflow,Python
129,metaflow-docs,JavaScript
130,metaflow-extensions-template,Python
131,metaflow-nflx-extensions,Python
132,metaflow-service,Python
133,metaflow-tools,HCL
134,metaflow-ui,TypeScript
135,metrics-client-go,Go
136,msl,C++
137,ndbench,HTML
138,nerror,JavaScript
139,netflix-commons,Java
140,netflix-graph,Java
141,netflix.github.com,HTML
142,netflixoss-npm-build-infrastructure,
143,nf-data-explorer,TypeScript
144,nflx-geofeed,
145,nflxprofile,Python
146,NfWebCrypto,C++
147,Nicobar,Java
148,ocelli,Java
149,octodns,
150,octodns-ns1,Python
151,octodns-route53,
152,octodns-ultra,Python
153,OpenVPCal,Python
154,osstracker,Scala
155,p2plab,Go
156,photon,Java
157,PigPen,Clojure
158,pollyjs,JavaScript
159,polynote,HTML
160,Prana,Java
161,Priam,Java
162,probnik,TypeScript
163,pygenie,Python
164,pytheas,JavaScript
165,q,Java
166,Raigad,Java
167,ReactiveLab,Java
168,reactivesocket-examples,Java
169,read_bbrlog,C
170,recipes-rss,Java
171,rend,Go
172,rend-http,Go
173,rend-lmdb,Go
174,repokid,Python
175,restful-jsonapi,Ruby
176,ribbon,Java
177,runtime-health,Java
178,rx-aws-java-sdk,Java
179,s3mper,Java
180,security-bulletins,
181,security_monkey,Python
182,servo,Java
183,sherlock,R
184,signal-wrapper,Go
185,SimianArmy,Java
186,sleepy-puppy-docker,Dockerfile
187,spark,Scala
188,spectator,Java
189,spectator-cpp,C++
190,spectator-go,Go
191,spectator-go-runtime-metrics,Go
192,spectator-js,JavaScript
193,spectator-py,Python
194,spectator-rb,Ruby
195,staash,Java
196,sureal,Python
197,suro,Java
198,Surus,Java
199,taskintrospection,C
200,tcplog_dumper,C
201,techreports,
202,titus,
203,titus-api-definitions,Makefile
204,titus-control-plane,Java
205,titus-executor,Go
206,titus-kube-common,Go
207,tslint-config-netflix,JavaScript
208,Turbine,Java
209,unleash,JavaScript
210,user2020-metaflow-tutorial,R
211,vector,JavaScript
212,vectorflow,D
213,videoannotator,Jupyter Notebook
214,virtual-kubelet,Go
215,vizceral,JavaScript
216,vizceral-component,JavaScript
217,vizceral-example,JavaScript
218,vizceral-react,JavaScript
219,vmaf,Python
220,vmaf_resource,
221,vp9-dash,
222,webpack-parse-query,JavaScript
223,weep,Go
224,Workflowable,Ruby
225,x-element,JavaScript
226,x-test,JavaScript
227,yetch,JavaScript
228,zeno,Java
229,zuul,Java
